neighborhood,date,temperature,humidity,ID,ndvi,population_density,temp_norm,hum_norm,ndvi_norm,pop_norm,risk_score
Patia,2026-05-10,32.7,94,Patia,0.3895428571428571,108.456116,0.9058171745152355,0.9690721649484536,0.5262670320762728,0.7652213559296442,0.8039321675664592
Patia,2026-05-11,33.9,92,Patia,0.3895428571428571,108.456116,0.9390581717451523,0.9484536082474226,0.5262670320762728,0.7652213559296442,0.8131048551182198
Patia,2026-05-12,34.5,94,Patia,0.3895428571428571,108.456116,0.9556786703601108,0.9690721649484536,0.5262670320762728,0.7652213559296442,0.8238767659044094
Patia,2026-05-13,34.3,93,Patia,0.3895428571428571,108.456116,0.9501385041551246,0.9587628865979382,0.5262670320762728,0.7652213559296442,0.8195988437523118
Patia,2026-05-14,35.3,94,Patia,0.3895428571428571,108.456116,0.9778393351800553,0.9690721649484536,0.5262670320762728,0.7652213559296442,0.8327410318323872
Patia,2026-05-15,36.1,93,Patia,0.3895428571428571,108.456116,1.0,0.9587628865979382,0.5262670320762728,0.7652213559296442,0.839543442090262
Patia,2026-05-16,35.5,95,Patia,0.3895428571428571,108.456116,0.9833795013850415,0.979381443298969,0.5262670320762728,0.7652213559296442,0.8370189539844848
SaheedNagar,2026-05-10,32.7,96,SaheedNagar,0.5126285714285714,82.75752,0.9058171745152355,0.9896907216494846,0.6925541359478133,0.5839027249304655,0.7385347319325215
SaheedNagar,2026-05-11,33.7,93,SaheedNagar,0.5126285714285714,82.75752,0.9335180055401663,0.9587628865979382,0.6925541359478133,0.5839027249304655,0.7434294973321847
SaheedNagar,2026-05-12,34.5,94,SaheedNagar,0.5126285714285714,82.75752,0.9556786703601108,0.9690721649484536,0.6925541359478133,0.5839027249304655,0.7543556189302655
SaheedNagar,2026-05-13,34.4,93,SaheedNagar,0.5126285714285714,82.75752,0.9529085872576176,0.9587628865979382,0.6925541359478133,0.5839027249304655,0.7511857300191651
SaheedNagar,2026-05-14,35.2,94,SaheedNagar,0.5126285714285714,82.75752,0.9750692520775623,0.9690721649484536,0.6925541359478133,0.5839027249304655,0.7621118516172461
SaheedNagar,2026-05-15,35.9,92,SaheedNagar,0.5126285714285714,82.75752,0.9944598337950138,0.9484536082474226,0.6925541359478133,0.5839027249304655,0.7657443729640205
SaheedNagar,2026-05-16,35.5,95,SaheedNagar,0.5126285714285714,82.75752,0.9833795013850415,0.979381443298969,0.6925541359478133,0.5839027249304655,0.7674978070103409
Rasulgarh,2026-05-10,32.7,96,Rasulgarh,0.5111571428571429,94.04801,0.9058171745152355,0.9896907216494846,0.6905662562241865,0.6635637379332738,0.7548645104778084
Rasulgarh,2026-05-11,33.7,93,Rasulgarh,0.5111571428571429,94.04801,0.9335180055401663,0.9587628865979382,0.6905662562241865,0.6635637379332738,0.7597592758774716
Rasulgarh,2026-05-12,34.5,94,Rasulgarh,0.5111571428571429,94.04801,0.9556786703601108,0.9690721649484536,0.6905662562241865,0.6635637379332738,0.7706853974755524
Rasulgarh,2026-05-13,34.4,93,Rasulgarh,0.5111571428571429,94.04801,0.9529085872576176,0.9587628865979382,0.6905662562241865,0.6635637379332738,0.767515508564452
Rasulgarh,2026-05-14,35.2,94,Rasulgarh,0.5111571428571429,94.04801,0.9750692520775623,0.9690721649484536,0.6905662562241865,0.6635637379332738,0.7784416301625331
Rasulgarh,2026-05-15,35.9,92,Rasulgarh,0.5111571428571429,94.04801,0.9944598337950138,0.9484536082474226,0.6905662562241865,0.6635637379332738,0.7820741515093075
Rasulgarh,2026-05-16,35.5,95,Rasulgarh,0.5111571428571429,94.04801,0.9833795013850415,0.979381443298969,0.6905662562241865,0.6635637379332738,0.7838275855556278
OldTown,2026-05-10,32.7,96,OldTown,0.4301714285714286,97.49772,0.9058171745152355,0.9896907216494846,0.5811556722121435,0.6879034604046562,0.7816145717744937
OldTown,2026-05-11,33.7,93,OldTown,0.4301714285714286,97.49772,0.9335180055401663,0.9587628865979382,0.5811556722121435,0.6879034604046562,0.7865093371741568
OldTown,2026-05-12,34.5,94,OldTown,0.4301714285714286,97.49772,0.9556786703601108,0.9690721649484536,0.5811556722121435,0.6879034604046562,0.7974354587722376
OldTown,2026-05-13,34.4,93,OldTown,0.4301714285714286,97.49772,0.9529085872576176,0.9587628865979382,0.5811556722121435,0.6879034604046562,0.7942655698611373
OldTown,2026-05-14,35.2,94,OldTown,0.4301714285714286,97.49772,0.9750692520775623,0.9690721649484536,0.5811556722121435,0.6879034604046562,0.8051916914592183
OldTown,2026-05-15,35.9,92,OldTown,0.4301714285714286,97.49772,0.9944598337950138,0.9484536082474226,0.5811556722121435,0.6879034604046562,0.8088242128059927
OldTown,2026-05-16,35.5,95,OldTown,0.4301714285714286,97.49772,0.9833795013850415,0.979381443298969,0.5811556722121435,0.6879034604046562,0.810577646852313
Chandrasekharpur,2026-05-10,32.6,95,Chandrasekharpur,0.7402,2.0741825,0.9030470914127424,0.979381443298969,1.0,0.0146345711393126,0.5600220394527533
Chandrasekharpur,2026-05-11,33.7,90,Chandrasekharpur,0.7402,2.0741825,0.9335180055401663,0.9278350515463918,1.0,0.0146345711393126,0.5619011267532075
Chandrasekharpur,2026-05-12,34.5,93,Chandrasekharpur,0.7402,2.0741825,0.9556786703601108,0.9587628865979382,1.0,0.0146345711393126,0.5769509596914945
Chandrasekharpur,2026-05-13,34.3,93,Chandrasekharpur,0.7402,2.0741825,0.9501385041551246,0.9587628865979382,1.0,0.0146345711393126,0.5747348932095
Chandrasekharpur,2026-05-14,35.2,95,Chandrasekharpur,0.7402,2.0741825,0.9750692520775623,0.979381443298969,1.0,0.0146345711393126,0.5888309037186813
Chandrasekharpur,2026-05-15,36.1,95,Chandrasekharpur,0.7402,2.0741825,1.0,0.979381443298969,1.0,0.0146345711393126,0.5988032028876563
Chandrasekharpur,2026-05-16,35.2,97,Chandrasekharpur,0.7402,2.0741825,0.9750692520775623,1.0,1.0,0.0146345711393126,0.5929546150588875
Nayapalli,2026-05-10,32.7,96,Nayapalli,0.4044,116.500626,0.9058171745152355,0.9896907216494846,0.5463388273439611,0.8219800808132607,0.815393264829851
Nayapalli,2026-05-11,33.7,93,Nayapalli,0.4044,116.500626,0.9335180055401663,0.9587628865979382,0.5463388273439611,0.8219800808132607,0.8202880302295141
